entity;three_class;jour;P_f;P_h;P;T_f;T_h;T;pop;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
FR;whole;2020-09-04;5142;4901;10095;117428;99397;217657;67114995.0;51639.0;1144649.0;76.94107702757037;4.511339283920224;1705.5041127545342
FR;0-29;2020-09-05;1004;860;1874;17982;16329;34621;23576479.03461425;24858.0;388876.0;105.43559096972987;6.392269000915459;1649.4235607830349
FR;30-59;2020-09-05;831;768;1599;20577;17574;38181;25680932.859880406;21429.0;509269.0;83.443230496806;4.207795879976986;1983.0626978336784
FR;60+;2020-09-05;326;251;581;10859;9481;20368;17857583.105505355;6352.0;254342.0;35.57032305251727;2.4974247273356345;1424.2800859293682
FR;whole;2020-09-05;2161;1879;4054;49461;43405;93234;67114995.0;52671.0;1152970.0;78.47873638372468;4.56828885400314;1717.9022363035265
FR;0-29;2020-09-06;322;331;656;5501;4971;10554;23576479.03461425;24887.0;389564.0;105.55859491767912;6.388423981682085;1652.3417234102442
FR;30-59;2020-09-06;284;278;563;5685;5197;10890;25680932.859880406;21455.0;508884.0;83.54447292496023;4.216088538841857;1981.563531109087
FR;60+;2020-09-06;140;113;253;3691;3289;6980;17857583.105505355;6453.0;254681.0;36.135909108610505;2.533757916766465;1426.1784391275426
FR;whole;2020-09-06;746;722;1472;14882;13461;28433;67114995.0;52826.0;1153614.0;78.70968328314709;4.579174663275584;1718.8617834211266
FR;0-29;2020-09-07;2762;2728;5544;44860;41520;87267;23576479.03461425;25870.0;403585.0;109.72800460161363;6.410049927524561;1711.8120114859776
FR;30-59;2020-09-07;2735;2277;5026;58114;45986;104283;25680932.859880406;22677.0;516232.0;88.30286704820895;4.39279238791861;2010.1761988812896
FR;60+;2020-09-07;918;768;1695;28896;23706;52688;17857583.105505355;7025.0;257978.0;39.339030139158346;2.723100419415609;1444.6411839487246
FR;whole;2020-09-07;6417;5775;12271;131906;111252;244326;67114995.0;55605.0;1178289.0;82.8503376927913;4.719130875362496;1755.6270398291767
FR;0-29;2020-09-08;2738;2684;5469;48389;45457;94796;23576479.03461425;27099.0;433481.0;114.94082708539344;6.251485070856623;1838.616357275303
FR;30-59;2020-09-08;2559;2195;4767;56966;43815;100949;25680932.859880406;23856.0;529803.0;92.89382177104876;4.502805759876784;2063.0208524382524
FR;60+;2020-09-08;769;655;1426;25330;20089;45495;17857583.105505355;7423.0;259602.0;41.56777519188219;2.8593770464017996;1453.7353597417487
FR;whole;2020-09-08;6068;5535;11665;130717;109413;241337;67114995.0;58407.0;1223386.0;87.02526164234982;4.77420863080009;1822.8206677211256
FR;0-29;2020-09-09;2578;2700;5335;49496;45825;96325;23576479.03461425;28015.0;463716.0;118.82605523441076;6.041413278817207;1966.8585768010003
FR;30-59;2020-09-09;2359;2152;4526;54966;43890;99025;25680932.859880406;24747.0;542239.0;96.36332190510328;4.563854684004655;2111.4458846123284
FR;60+;2020-09-09;792;677;1474;23245;18617;41930;17857583.105505355;7877.0;259070.0;44.110112513331;3.0404909869919328;1450.7562331888616
FR;whole;2020-09-09;5733;5530;11344;127742;108378;237372;67114995.0;60673.0;1265530.0;90.4015563139057;4.794275916019376;1885.6143846840785
FR;0-29;2020-09-10;2716;2766;5511;52756;47966;101672;23576479.03461425;29004.0;497767.0;123.02091401102443;5.826822589685535;2111.2864192706384
FR;30-59;2020-09-10;2574;2315;4901;59842;45365;105410;25680932.859880406;25536.0;554984.0;99.43564020562965;4.60121372868407;2161.074144105622
FR;60+;2020-09-10;912;731;1647;24479;19566;44117;17857583.105505355;8392.0;260377.0;46.99404141321236;3.223018930243455;1458.0752527464244
FR;whole;2020-09-10;6204;5812;12061;137117;112931;251278;67114995.0;62962.0;1313637.0;93.81212052537589;4.792952695455441;1957.2928523648106
FR;0-29;2020-09-11;2513;2489;5034;54626;49536;105128;23576479.03461425;29423.0;530363.0;124.79810898311861;5.547709776134459;2249.542856765582
FR;30-59;2020-09-11;2503;2171;4681;60712;45755;106629;25680932.859880406;26063.0;565367.0;101.48774634552498;4.6099259419103;2201.504918395059
FR;60+;2020-09-11;858;704;1566;26474;22147;48706;17857583.105505355;8642.0;260284.0;48.394006898591655;3.3202194525979314;1457.5544655858635
FR;whole;2020-09-11;5877;5367;11289;141851;117492;260567;67114995.0;64156.0;1356547.0;95.59115664092651;4.729360648764842;2021.227894004909
FR;0-29;2020-09-12;1017;995;2023;21182;19317;40780;23576479.03461425;29572.0;536522.0;125.4300947846509;5.5117963475868645;2275.6663504007324
FR;30-59;2020-09-12;900;853;1755;22333;18017;40412;25680932.859880406;26219.0;567598.0;102.09520091445034;4.619290413285459;2210.1922975186003
FR;60+;2020-09-12;359;356;715;10845;9867;20729;17857583.105505355;8776.0;260645.0;49.14438839875496;3.3670317865295707;1459.576015746751
FR;whole;2020-09-12;2277;2205;4495;54375;47215;101950;67114995.0;64597.0;1365263.0;96.24823781928316;4.731469321295604;2034.2145596524294
FR;0-29;2020-09-13;344;312;657;5603;5089;10730;23576479.03461425;29573.0;536698.0;125.43433630009741;5.510175182318547;2276.4128571193214
FR;30-59;2020-09-13;300;299;600;5892;5026;10930;25680932.859880406;26256.0;567638.0;102.2392766775929;4.625483142425278;2210.3480551003763
FR;60+;2020-09-13;152;154;307;3985;3440;7442;17857583.105505355;8830.0;261107.0;49.44678094359689;3.381755372318628;1462.1631519637322
FR;whole;2020-09-13;796;766;1565;15483;13560;29110;67114995.0;64690.0;1365940.0;96.3868059589366;4.7359327642502596;2035.2232761099067
FR;0-29;2020-09-14;3226;3229;6499;54935;50930;106977;23576479.03461425;30528.0;556408.0;129.48498355152924;5.486621328233958;2360.013126570338
FR;30-59;2020-09-14;3279;2723;6017;64580;48818;113558;25680932.859880406;27247.0;576913.0;106.09817076608675;4.722895826580437;2246.464344374625
FR;60+;2020-09-14;1242;962;2212;30205;24519;54810;17857583.105505355;9347.0;263229.0;52.341909567361284;3.550900546672289;1474.0460590036316
FR;whole;2020-09-14;7750;6920;14739;149765;124325;275465;67114995.0;67158.0;1397079.0;100.06407658973976;4.807029523742036;2081.619763213869
