entity;three_class;jour;P_f;P_h;P;T_f;T_h;T;pop;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
01;30-59;2020-06-19;0;0;1;44;52;132;146601.0;2.0;457.0;1.3642471743030402;0.437636761487965;311.7304793282447
01;60+;2020-06-19;0;1;1;49;31;108;105103.0;1.0;383.0;0.9514476275653406;0.26109660574412535;364.40444135752546
01;whole;2020-06-19;0;2;3;122;103;319;376879.0;6.0;1231.0;1.5920229039028442;0.487408610885459;326.63003245073355
01;0-29;2020-06-20;0;1;1;18;15;36;125175.0;4.0;395.0;3.1955262632314763;1.0126582278481013;315.55821849410825
01;30-59;2020-06-20;1;0;1;19;9;28;146601.0;3.0;447.0;2.0463707614545603;0.6711409395973155;304.9092434567295
01;60+;2020-06-20;0;0;0;9;9;18;105103.0;1.0;387.0;0.9514476275653406;0.2583979328165375;368.21023186778683
01;whole;2020-06-20;1;1;2;46;33;82;376879.0;8.0;1230.0;2.1226972052037922;0.6504065040650406;326.36469530008304
01;0-29;2020-06-21;0;0;0;0;1;1;125175.0;4.0;393.0;3.1955262632314763;1.0178117048346056;313.96045536249255
01;30-59;2020-06-21;0;0;0;2;1;3;146601.0;3.0;443.0;2.0463707614545603;0.6772009029345373;302.1807491081234
01;60+;2020-06-21;0;0;0;0;2;2;105103.0;1.0;387.0;0.9514476275653406;0.2583979328165375;368.21023186778683
01;whole;2020-06-21;0;0;0;2;4;6;376879.0;8.0;1224.0;2.1226972052037922;0.6535947712418301;324.7726723961802
01;0-29;2020-06-22;0;0;0;54;35;89;125175.0;4.0;398.0;3.1955262632314763;1.0050251256281406;317.95486319153184
01;30-59;2020-06-22;1;0;1;62;67;129;146601.0;3.0;498.0;2.0463707614545603;0.6024096385542169;339.69754640145703
01;60+;2020-06-22;0;0;0;25;32;57;105103.0;1.0;413.0;0.9514476275653406;0.24213075060532688;392.9478701844857
01;whole;2020-06-22;1;0;1;141;134;275;376879.0;8.0;1310.0;2.1226972052037922;0.6106870229007634;347.59166735212096
01;0-29;2020-06-23;0;1;1;46;37;83;125175.0;4.0;371.0;3.1955262632314763;1.078167115902965;296.3850609147194
01;30-59;2020-06-23;0;0;0;55;55;110;146601.0;3.0;508.0;2.0463707614545603;0.5905511811023622;346.5187822729722
01;60+;2020-06-23;0;0;0;41;36;77;105103.0;1.0;397.0;0.9514476275653406;0.2518891687657431;377.72470814344024
01;whole;2020-06-23;0;1;1;142;128;270;376879.0;8.0;1277.0;2.1226972052037922;0.6264682850430697;338.83554138065534
01;0-29;2020-06-24;0;0;0;22;30;53;125175.0;4.0;403.0;3.1955262632314763;0.9925558312655087;321.9492710205712
01;30-59;2020-06-24;0;0;0;25;28;53;146601.0;3.0;529.0;2.0463707614545603;0.5671077504725899;360.8433776031541
01;60+;2020-06-24;0;0;0;28;23;51;105103.0;1.0;395.0;0.9514476275653406;0.25316455696202533;375.8218128883096
01;whole;2020-06-24;0;0;0;75;81;157;376879.0;8.0;1327.0;2.1226972052037922;0.6028636021100227;352.102398913179
01;0-29;2020-06-25;1;0;1;49;34;83;125175.0;4.0;424.0;3.1955262632314763;0.9433962264150944;338.7257839025365
01;30-59;2020-06-25;1;0;1;76;46;122;146601.0;4.0;577.0;2.7284943486060804;0.6932409012131715;393.5853097864271
01;60+;2020-06-25;1;0;1;43;34;77;105103.0;2.0;390.0;1.9028952551306813;0.5128205128205128;371.06457475048285
01;whole;2020-06-25;3;0;3;168;114;282;376879.0;10.0;1391.0;2.6533715065047403;0.7189072609633357;369.08397655480934
01;0-29;2020-06-26;0;0;0;76;55;131;125175.0;3.0;476.0;2.396644697423607;0.6302521008403361;380.26762532454563
01;30-59;2020-06-26;0;0;0;81;55;136;146601.0;3.0;581.0;2.0463707614545603;0.5163511187607573;396.3138041350332
01;60+;2020-06-26;0;0;0;52;42;94;105103.0;1.0;376.0;0.9514476275653406;0.26595744680851063;357.74430796456807
01;whole;2020-06-26;0;0;0;209;152;361;376879.0;7.0;1433.0;1.857360054553318;0.48848569434752265;380.22813688212926
01;0-29;2020-06-27;0;0;0;8;8;16;125175.0;2.0;456.0;1.5977631316157381;0.43859649122807015;364.28999400838825
01;30-59;2020-06-27;0;0;0;10;6;16;146601.0;2.0;569.0;1.3642471743030402;0.35149384885764495;388.1283210892149
01;60+;2020-06-27;0;0;0;8;5;13;105103.0;1.0;371.0;0.9514476275653406;0.2695417789757413;352.9870698267414
