jour;three_class;P;T;pop
;;sum;sum;sum
2021-03-04;0-19;4515;60979;16099691.846810132
2021-03-04;20-59;14655;212485;33157720.0476845
2021-03-04;60+;4565;76842;17857583.105505366
2021-03-04;whole;23744;350419;67114995.0
2021-03-05;0-19;5137;74832;16099691.846810132
2021-03-05;20-59;15344;235802;33157720.0476845
2021-03-05;60+;4998;92009;17857583.105505366
2021-03-05;whole;25517;402818;67114995.0
2021-03-06;0-19;3074;34270;16099691.846810132
2021-03-06;20-59;9608;131490;33157720.0476845
2021-03-06;60+;2949;51177;17857583.105505366
2021-03-06;whole;15634;216973;67114995.0
2021-03-07;0-19;641;6564;16099691.846810132
2021-03-07;20-59;2130;26793;33157720.0476845
2021-03-07;60+;809;13407;17857583.105505366
2021-03-07;whole;3580;46772;67114995.0
2021-03-08;0-19;6435;75206;16099691.846810132
2021-03-08;20-59;21409;249520;33157720.0476845
2021-03-08;60+;6387;111334;17857583.105505366
2021-03-08;whole;34239;436160;67114995.0
2021-03-09;0-19;5505;77036;16099691.846810132
2021-03-09;20-59;16833;209540;33157720.0476845
2021-03-09;60+;5469;90678;17857583.105505366
2021-03-09;whole;27820;377353;67114995.0
2021-03-10;0-19;5656;64003;16099691.846810132
2021-03-10;20-59;17403;210934;33157720.0476845
2021-03-10;60+;5058;80583;17857583.105505366
2021-03-10;whole;28124;355638;67114995.0
2021-03-11;0-19;6308;108845;16099691.846810132
2021-03-11;20-59;19276;246635;33157720.0476845
2021-03-11;60+;5318;79458;17857583.105505366
2021-03-11;whole;30910;435056;67114995.0
2021-03-12;0-19;7104;121356;16099691.846810132
2021-03-12;20-59;19475;271269;33157720.0476845
2021-03-12;60+;5573;96389;17857583.105505366
2021-03-12;whole;32164;489163;67114995.0
2021-03-13;0-19;4313;49583;16099691.846810132
2021-03-13;20-59;13056;156358;33157720.0476845
2021-03-13;60+;3482;55075;17857583.105505366
2021-03-13;whole;20853;261079;67114995.0
2021-03-14;0-19;869;9210;16099691.846810132
2021-03-14;20-59;3125;33586;33157720.0476845
2021-03-14;60+;977;14835;17857583.105505366
2021-03-14;whole;4972;57651;67114995.0
2021-03-15;0-19;8599;113296;16099691.846810132
2021-03-15;20-59;27974;283783;33157720.0476845
2021-03-15;60+;8025;115661;17857583.105505366
2021-03-15;whole;44604;512883;67114995.0
2021-03-16;0-19;7509;123076;16099691.846810132
2021-03-16;20-59;21505;246128;33157720.0476845
2021-03-16;60+;6147;91533;17857583.105505366
2021-03-16;whole;35173;460858;67114995.0
2021-03-17;0-19;7050;87736;16099691.846810132
2021-03-17;20-59;20057;238200;33157720.0476845
2021-03-17;60+;5442;80972;17857583.105505366
2021-03-17;whole;32560;407007;67114995.0
2021-03-18;0-19;7747;136416;16099691.846810132
2021-03-18;20-59;20598;267562;33157720.0476845
2021-03-18;60+;5916;81235;17857583.105505366
2021-03-18;whole;34270;485358;67114995.0
2021-03-19;0-19;8623;152968;16099691.846810132
2021-03-19;20-59;21719;298095;33157720.0476845
2021-03-19;60+;6162;96886;17857583.105505366
2021-03-19;whole;36515;548086;67114995.0
2021-03-20;0-19;5187;61007;16099691.846810132
2021-03-20;20-59;13775;165790;33157720.0476845
2021-03-20;60+;3745;56020;17857583.105505366
2021-03-20;whole;22711;282890;67114995.0
2021-03-21;0-19;1023;11113;16099691.846810132
2021-03-21;20-59;3278;34127;33157720.0476845
2021-03-21;60+;1092;14190;17857583.105505366
2021-03-21;whole;5394;59470;67114995.0
2021-03-22;0-19;11228;146649;16099691.846810132
2021-03-22;20-59;32318;317643;33157720.0476845
2021-03-22;60+;8916;122349;17857583.105505366
2021-03-22;whole;52477;586824;67114995.0
2021-03-23;0-19;9779;154094;16099691.846810132
2021-03-23;20-59;26074;283133;33157720.0476845
2021-03-23;60+;7115;101746;17857583.105505366
2021-03-23;whole;42985;539099;67114995.0
2021-03-24;0-19;9578;116152;16099691.846810132
2021-03-24;20-59;25115;277265;33157720.0476845
2021-03-24;60+;6751;91827;17857583.105505366
2021-03-24;whole;41456;485355;67114995.0
2021-03-25;0-19;9986;168360;16099691.846810132
2021-03-25;20-59;25348;306532;33157720.0476845
2021-03-25;60+;6740;90392;17857583.105505366
2021-03-25;whole;42087;565448;67114995.0
2021-03-26;0-19;10871;180559;16099691.846810132
2021-03-26;20-59;25046;326991;33157720.0476845
2021-03-26;60+;6879;104272;17857583.105505366
2021-03-26;whole;42806;612105;67114995.0
2021-03-27;0-19;6296;78500;16099691.846810132
2021-03-27;20-59;16352;194475;33157720.0476845
2021-03-27;60+;4091;59779;17857583.105505366
2021-03-27;whole;26743;332817;67114995.0
2021-03-28;0-19;1060;11683;16099691.846810132
2021-03-28;20-59;3072;33086;33157720.0476845
2021-03-28;60+;1017;13304;17857583.105505366
2021-03-28;whole;5154;58096;67114995.0
