jour;three_class;P;T;pop
;;sum;sum;sum
2020-10-02;20-59;10739;121275;33157720.0476845
2020-10-02;60+;2696;48099;17857583.105505366
2020-10-02;whole;16022;203115;67114995.0
2020-10-03;0-19;1153;15082;16099691.846810132
2020-10-03;20-59;4714;50266;33157720.0476845
2020-10-03;60+;1247;22081;17857583.105505366
2020-10-03;whole;7120;87472;67114995.0
2020-10-04;0-19;255;3225;16099691.846810132
2020-10-04;20-59;1258;13088;33157720.0476845
2020-10-04;60+;424;7756;17857583.105505366
2020-10-04;whole;1938;24080;67114995.0
2020-10-05;0-19;3099;36480;16099691.846810132
2020-10-05;20-59;14426;139321;33157720.0476845
2020-10-05;60+;3674;56200;17857583.105505366
2020-10-05;whole;21212;232106;67114995.0
2020-10-06;0-19;2868;37183;16099691.846810132
2020-10-06;20-59;13152;125946;33157720.0476845
2020-10-06;60+;3451;47210;17857583.105505366
2020-10-06;whole;19483;210430;67114995.0
2020-10-07;0-19;3173;38548;16099691.846810132
2020-10-07;20-59;13894;125943;33157720.0476845
2020-10-07;60+;3394;42320;17857583.105505366
2020-10-07;whole;20472;206918;67114995.0
2020-10-08;0-19;3370;37722;16099691.846810132
2020-10-08;20-59;15167;138983;33157720.0476845
2020-10-08;60+;3734;46309;17857583.105505366
2020-10-08;whole;22287;223143;67114995.0
