entity;three_class;jour;hosp;rea;HospConv;SSR_USLD;autres;rad;dc;taux hosp;taux rea
Auvergne-Rhône-Alpes;20-59;2020-05-06;258;44;0.0;0.0;0.0;1789;53;6.481573364250607;1.1053846047559173
Auvergne-Rhône-Alpes;60+;2020-05-06;2015;242;0.0;0.0;0.0;3520;1365;95.42486322041628;11.460455036893668
Auvergne-Rhône-Alpes;whole;2020-05-06;2299;296;0.0;0.0;0.0;5460;1437;28.621664545874776;3.6850859963370746
Auvergne-Rhône-Alpes;0-19;2020-05-07;11;5;0.0;0.0;0.0;77;0;0.5669363737615661;0.25769835170980276
Auvergne-Rhône-Alpes;20-59;2020-05-07;243;42;0.0;0.0;0.0;1819;55;6.104737703538361;1.0551398499942848
Auvergne-Rhône-Alpes;60+;2020-05-07;1939;225;0.0;0.0;0.0;3625;1386;91.82571205180504;10.655381749177996
Auvergne-Rhône-Alpes;whole;2020-05-07;2206;276;0.0;0.0;0.0;5596;1462;27.463850364593192;3.4360936992872717
Auvergne-Rhône-Alpes;0-19;2020-05-08;8;2;0.0;0.0;0.0;80;0;0.4123173627356845;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-05-08;229;41;0.0;0.0;0.0;1836;57;5.753024420206933;1.0300174726134683
Auvergne-Rhône-Alpes;60+;2020-05-08;1874;215;0.0;0.0;0.0;3689;1392;88.74749065759806;10.181809226992307
Auvergne-Rhône-Alpes;whole;2020-05-08;2128;262;0.0;0.0;0.0;5680;1469;26.492780406098966;3.2617990913524104
Auvergne-Rhône-Alpes;0-19;2020-05-09;8;2;0.0;0.0;0.0;80;0;0.4123173627356845;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-05-09;229;40;0.0;0.0;0.0;1842;57;5.753024420206933;1.004895095232652
Auvergne-Rhône-Alpes;60+;2020-05-09;1869;209;0.0;0.0;0.0;3701;1397;88.51070439650523;9.897665713680894
Auvergne-Rhône-Alpes;whole;2020-05-09;2122;255;0.0;0.0;0.0;5698;1473;26.418082716984024;3.1746517873849798
Auvergne-Rhône-Alpes;0-19;2020-05-10;8;2;0.0;0.0;0.0;81;0;0.4123173627356845;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-05-10;228;40;0.0;0.0;0.0;1843;57;5.727902042826116;1.004895095232652
Auvergne-Rhône-Alpes;60+;2020-05-10;1865;207;0.0;0.0;0.0;3708;1406;88.32127538763095;9.802951209243757
