jour;cl_age90;P;T;pop
;;sum;sum;sum
2020-06-11;39;121;5298;8295371.931939545
2020-06-11;49;85;5238;8592886.15993014
2020-06-11;59;81;5271;8792674.76801071
2020-06-11;69;44;4641;8004082.760304243
2020-06-11;79;38;4010;5695639.130797295
2020-06-11;89;33;3492;3245280.6081309738
2020-06-11;90;22;1593;912580.6062728533
2020-06-12;0;613;44325;67114995.0
2020-06-12;9;46;2129;7763205.686272893
2020-06-12;19;68;3003;8336486.160537239
2020-06-12;29;98;5249;7476787.1878041085
2020-06-12;39;89;5713;8295371.931939545
2020-06-12;49;89;5481;8592886.15993014
2020-06-12;59;72;5992;8792674.76801071
2020-06-12;69;51;5710;8004082.760304243
2020-06-12;79;42;5289;5695639.130797295
2020-06-12;89;33;4039;3245280.6081309738
2020-06-12;90;24;1707;912580.6062728533
2020-06-13;0;215;19122;67114995.0
2020-06-13;9;12;989;7763205.686272893
2020-06-13;19;20;1296;8336486.160537239
2020-06-13;29;37;2026;7476787.1878041085
2020-06-13;39;35;2320;8295371.931939545
2020-06-13;49;33;2225;8592886.15993014
2020-06-13;59;21;2522;8792674.76801071
2020-06-13;69;20;2495;8004082.760304243
2020-06-13;79;16;2443;5695639.130797295
2020-06-13;89;15;1937;3245280.6081309738
2020-06-13;90;6;867;912580.6062728533
2020-06-14;0;133;6609;67114995.0
2020-06-14;9;9;395;7763205.686272893
2020-06-14;19;8;322;8336486.160537239
2020-06-14;29;17;576;7476787.1878041085
2020-06-14;39;28;665;8295371.931939545
2020-06-14;49;14;642;8592886.15993014
2020-06-14;59;14;767;8792674.76801071
2020-06-14;69;19;914;8004082.760304243
2020-06-14;79;8;968;5695639.130797295
2020-06-14;89;11;919;3245280.6081309738
2020-06-14;90;5;440;912580.6062728533
2020-06-15;0;499;43480;67114995.0
2020-06-15;9;35;2052;7763205.686272893
2020-06-15;19;49;2818;8336486.160537239
2020-06-15;29;67;4911;7476787.1878041085
2020-06-15;39;91;5304;8295371.931939545
2020-06-15;49;69;5261;8592886.15993014
2020-06-15;59;50;5759;8792674.76801071
2020-06-15;69;47;5995;8004082.760304243
2020-06-15;79;32;5454;5695639.130797295
2020-06-15;89;41;4161;3245280.6081309738
2020-06-15;90;18;1739;912580.6062728533
2020-06-16;0;572;42807;67114995.0
2020-06-16;9;29;2031;7763205.686272893
2020-06-16;19;44;2826;8336486.160537239
2020-06-16;29;92;4962;7476787.1878041085
2020-06-16;39;105;5374;8295371.931939545
2020-06-16;49;75;5309;8592886.15993014
2020-06-16;59;72;5613;8792674.76801071
2020-06-16;69;46;5660;8004082.760304243
2020-06-16;79;46;5027;5695639.130797295
2020-06-16;89;36;4063;3245280.6081309738
2020-06-16;90;21;1922;912580.6062728533
2020-06-17;0;743;39927;67114995.0
2020-06-17;9;50;2028;7763205.686272893
2020-06-17;19;64;2833;8336486.160537239
2020-06-17;29;114;4866;7476787.1878041085
2020-06-17;39;128;5149;8295371.931939545
2020-06-17;49;123;4779;8592886.15993014
2020-06-17;59;85;5281;8792674.76801071
2020-06-17;69;57;4905;8004082.760304243
2020-06-17;79;50;4576;5695639.130797295
2020-06-17;89;45;3766;3245280.6081309738
2020-06-17;90;25;1725;912580.6062728533
2020-06-18;0;570;37654;67114995.0
2020-06-18;9;36;1938;7763205.686272893
2020-06-18;19;67;2550;8336486.160537239
2020-06-18;29;85;4555;7476787.1878041085
2020-06-18;39;114;5025;8295371.931939545
2020-06-18;49;92;4779;8592886.15993014
2020-06-18;59;61;4979;8792674.76801071
2020-06-18;69;49;4590;8004082.760304243
2020-06-18;79;31;4015;5695639.130797295
2020-06-18;89;29;3500;3245280.6081309738
2020-06-18;90;5;1690;912580.6062728533
2020-06-19;0;699;45639;67114995.0
2020-06-19;9;47;2286;7763205.686272893
2020-06-19;19;70;3182;8336486.160537239
2020-06-19;29;112;5185;7476787.1878041085
2020-06-19;39;135;5772;8295371.931939545
2020-06-19;49;105;5676;8592886.15993014
2020-06-19;59;85;6056;8792674.76801071
2020-06-19;69;65;6195;8004082.760304243
2020-06-19;79;33;5591;5695639.130797295
2020-06-19;89;29;4023;3245280.6081309738
2020-06-19;90;17;1654;912580.6062728533
2020-06-20;0;349;21575;67114995.0
2020-06-20;9;23;1146;7763205.686272893
2020-06-20;19;34;1569;8336486.160537239
2020-06-20;29;61;2161;7476787.1878041085
2020-06-20;39;59;2568;8295371.931939545
2020-06-20;49;52;2637;8592886.15993014
2020-06-20;59;53;2854;8792674.76801071
2020-06-20;69;19;2888;8004082.760304243
