reg;jour;three_class;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-06-27;20-59;17;1326;3980515.0
Auvergne-Rhône-Alpes;2020-06-27;60+;7;1182;2111609.0
Auvergne-Rhône-Alpes;2020-06-27;whole;28;3085;8032377.0
Auvergne-Rhône-Alpes;2020-06-28;0-19;1;118;1940253.0
Auvergne-Rhône-Alpes;2020-06-28;20-59;4;325;3980515.0
Auvergne-Rhône-Alpes;2020-06-28;60+;4;432;2111609.0
Auvergne-Rhône-Alpes;2020-06-28;whole;9;875;8032377.0
Auvergne-Rhône-Alpes;2020-06-29;0-19;8;1490;1940253.0
Auvergne-Rhône-Alpes;2020-06-29;20-59;24;2905;3980515.0
Auvergne-Rhône-Alpes;2020-06-29;60+;8;2289;2111609.0
Auvergne-Rhône-Alpes;2020-06-29;whole;41;6685;8032377.0
Auvergne-Rhône-Alpes;2020-06-30;0-19;6;1645;1940253.0
Auvergne-Rhône-Alpes;2020-06-30;20-59;20;3002;3980515.0
Auvergne-Rhône-Alpes;2020-06-30;60+;11;2058;2111609.0
Auvergne-Rhône-Alpes;2020-06-30;whole;42;6715;8032377.0
Auvergne-Rhône-Alpes;2020-07-01;0-19;9;1435;1940253.0
Auvergne-Rhône-Alpes;2020-07-01;20-59;16;2971;3980515.0
Auvergne-Rhône-Alpes;2020-07-01;60+;6;1727;2111609.0
Auvergne-Rhône-Alpes;2020-07-01;whole;31;6137;8032377.0
Auvergne-Rhône-Alpes;2020-07-02;0-19;10;1649;1940253.0
Auvergne-Rhône-Alpes;2020-07-02;20-59;20;3000;3980515.0
Auvergne-Rhône-Alpes;2020-07-02;60+;9;1488;2111609.0
Auvergne-Rhône-Alpes;2020-07-02;whole;39;6137;8032377.0
Auvergne-Rhône-Alpes;2020-07-03;0-19;7;1945;1940253.0
Auvergne-Rhône-Alpes;2020-07-03;20-59;17;3220;3980515.0
Auvergne-Rhône-Alpes;2020-07-03;60+;14;2211;2111609.0
Auvergne-Rhône-Alpes;2020-07-03;whole;39;7379;8032377.0
Auvergne-Rhône-Alpes;2020-07-04;0-19;5;945;1940253.0
Auvergne-Rhône-Alpes;2020-07-04;20-59;6;1525;3980515.0
Auvergne-Rhône-Alpes;2020-07-04;60+;2;1051;2111609.0
Auvergne-Rhône-Alpes;2020-07-04;whole;13;3522;8032377.0
Auvergne-Rhône-Alpes;2020-07-05;0-19;0;134;1940253.0
Auvergne-Rhône-Alpes;2020-07-05;20-59;2;327;3980515.0
Auvergne-Rhône-Alpes;2020-07-05;60+;1;392;2111609.0
Auvergne-Rhône-Alpes;2020-07-05;whole;3;853;8032377.0
Auvergne-Rhône-Alpes;2020-07-06;0-19;9;1903;1940253.0
Auvergne-Rhône-Alpes;2020-07-06;20-59;14;3834;3980515.0
Auvergne-Rhône-Alpes;2020-07-06;60+;9;2154;2111609.0
Auvergne-Rhône-Alpes;2020-07-06;whole;32;7891;8032377.0
Auvergne-Rhône-Alpes;2020-07-07;0-19;4;1798;1940253.0
Auvergne-Rhône-Alpes;2020-07-07;20-59;23;3859;3980515.0
Auvergne-Rhône-Alpes;2020-07-07;60+;9;1998;2111609.0
Auvergne-Rhône-Alpes;2020-07-07;whole;36;7656;8032377.0
Auvergne-Rhône-Alpes;2020-07-08;0-19;12;1714;1940253.0
Auvergne-Rhône-Alpes;2020-07-08;20-59;34;3951;3980515.0
Auvergne-Rhône-Alpes;2020-07-08;60+;15;1782;2111609.0
Auvergne-Rhône-Alpes;2020-07-08;whole;61;7448;8032377.0
Auvergne-Rhône-Alpes;2020-07-09;0-19;10;1670;1940253.0
Auvergne-Rhône-Alpes;2020-07-09;20-59;31;4036;3980515.0
Auvergne-Rhône-Alpes;2020-07-09;60+;10;1939;2111609.0
Auvergne-Rhône-Alpes;2020-07-09;whole;51;7647;8032377.0
Auvergne-Rhône-Alpes;2020-07-10;0-19;10;1941;1940253.0
Auvergne-Rhône-Alpes;2020-07-10;20-59;50;4491;3980515.0
Auvergne-Rhône-Alpes;2020-07-10;60+;18;2240;2111609.0
Auvergne-Rhône-Alpes;2020-07-10;whole;78;8672;8032377.0
Auvergne-Rhône-Alpes;2020-07-11;0-19;4;845;1940253.0
Auvergne-Rhône-Alpes;2020-07-11;20-59;16;1900;3980515.0
Auvergne-Rhône-Alpes;2020-07-11;60+;6;1017;2111609.0
Auvergne-Rhône-Alpes;2020-07-11;whole;26;3762;8032377.0
Auvergne-Rhône-Alpes;2020-07-12;0-19;1;146;1940253.0
Auvergne-Rhône-Alpes;2020-07-12;20-59;1;366;3980515.0
Auvergne-Rhône-Alpes;2020-07-12;60+;4;364;2111609.0
Auvergne-Rhône-Alpes;2020-07-12;whole;6;876;8032377.0
Auvergne-Rhône-Alpes;2020-07-13;0-19;15;1760;1940253.0
Auvergne-Rhône-Alpes;2020-07-13;20-59;39;4748;3980515.0
Auvergne-Rhône-Alpes;2020-07-13;60+;20;2683;2111609.0
Auvergne-Rhône-Alpes;2020-07-13;whole;74;9194;8032377.0
Auvergne-Rhône-Alpes;2020-07-14;0-19;0;164;1940253.0
Auvergne-Rhône-Alpes;2020-07-14;20-59;1;532;3980515.0
Auvergne-Rhône-Alpes;2020-07-14;60+;4;566;2111609.0
Auvergne-Rhône-Alpes;2020-07-14;whole;5;1263;8032377.0
Auvergne-Rhône-Alpes;2020-07-15;0-19;9;1638;1940253.0
Auvergne-Rhône-Alpes;2020-07-15;20-59;32;5065;3980515.0
Auvergne-Rhône-Alpes;2020-07-15;60+;15;2400;2111609.0
