reg;jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
Nouvelle-Aquitaine;2020-08-28;60+;43;3585;1870161.0;2.299267282335585;1.199442119944212;12.031049733151315
Nouvelle-Aquitaine;2020-08-28;whole;578;17265;5999982.0;9.633362233420034;3.34781349551115;51.100153300459894
Nouvelle-Aquitaine;2020-08-29;0-19;48;1095;1293321.0;3.711375598169364;4.383561643835616;42.68081937894769
Nouvelle-Aquitaine;2020-08-29;20-59;220;4612;2836500.0;7.7560373699982375;4.770164787510842;82.53128855984488
Nouvelle-Aquitaine;2020-08-29;60+;29;1410;1870161.0;1.5506686322728365;2.056737588652482;12.833119715361404
Nouvelle-Aquitaine;2020-08-29;whole;297;7118;5999982.0;4.95001485004455;4.1725203708907;52.26682346713707
Nouvelle-Aquitaine;2020-08-30;0-19;25;405;1293321.0;1.9330081240465438;6.172839506172839;42.52617872902396
Nouvelle-Aquitaine;2020-08-30;20-59;123;1889;2836500.0;4.336329984135379;6.511381683430387;82.95434514366296
Nouvelle-Aquitaine;2020-08-30;60+;4;540;1870161.0;0.21388532858935674;0.7407407407407408;12.779648383214065
Nouvelle-Aquitaine;2020-08-30;whole;152;2834;5999982.0;2.533340933356133;5.363443895553988;52.41682391713842
Nouvelle-Aquitaine;2020-08-31;0-19;124;2659;1293321.0;9.587720295270858;4.66340729597593;45.92827302734588
Nouvelle-Aquitaine;2020-08-31;20-59;525;12075;2836500.0;18.508725542041248;4.3478260869565215;89.7585052000705
Nouvelle-Aquitaine;2020-08-31;60+;69;3867;1870161.0;3.6895219181664043;1.7843289371605897;14.169903019044884
Nouvelle-Aquitaine;2020-08-31;whole;720;18611;5999982.0;12.000036000108;3.868679813013809;56.833503833844844
Nouvelle-Aquitaine;2020-09-01;0-19;117;2208;1293321.0;9.046478020537824;5.298913043478261;48.325203101163595
Nouvelle-Aquitaine;2020-09-01;20-59;603;11292;2836500.0;21.258593336858805;5.340063761955367;98.11387273047771
Nouvelle-Aquitaine;2020-09-01;60+;75;3876;1870161.0;4.010349911050439;1.9349845201238391;15.613628987023045
Nouvelle-Aquitaine;2020-09-01;whole;795;17381;5999982.0;13.25003975011925;4.57396007134227;61.716851817222114
Nouvelle-Aquitaine;2020-09-02;0-19;144;2231;1293321.0;11.134126794508092;6.454504706409682;51.263375449714346
Nouvelle-Aquitaine;2020-09-02;20-59;651;11370;2836500.0;22.950819672131146;5.725593667546174;107.70315529702098
Nouvelle-Aquitaine;2020-09-02;60+;78;3599;1870161.0;4.170763907492456;2.1672686857460404;17.80595360506395
Nouvelle-Aquitaine;2020-09-02;whole;874;17211;5999982.0;14.566710366797768;5.0781476962407766;67.56686936727478
Nouvelle-Aquitaine;2020-09-03;0-19;136;2266;1293321.0;10.515564194813198;6.001765225066196;53.66030552353206
Nouvelle-Aquitaine;2020-09-03;20-59;571;12515;2836500.0;20.130442446677243;4.562524970035957;110.27674951524767
Nouvelle-Aquitaine;2020-09-03;60+;66;3593;1870161.0;3.529107921724386;1.8369050932368494;19.463564901631464
Nouvelle-Aquitaine;2020-09-03;whole;775;18388;5999982.0;12.916705416782918;4.214705242549488;69.85020955062865
Nouvelle-Aquitaine;2020-09-04;0-19;137;2577;1293321.0;10.59288451977506;5.316259216142802;56.52115754712094
Nouvelle-Aquitaine;2020-09-04;20-59;624;11534;2836500.0;21.998942358540454;5.4100919022021845;116.93989071038251
Nouvelle-Aquitaine;2020-09-04;60+;90;3760;1870161.0;4.812419893260527;2.393617021276596;21.976717512556405
Nouvelle-Aquitaine;2020-09-04;whole;852;17877;5999982.0;14.2000426001278;4.765900318845444;74.41688991733642
Nouvelle-Aquitaine;2020-09-05;0-19;66;1415;1293321.0;5.103141447482876;4.6643109540636045;57.91292339643445
Nouvelle-Aquitaine;2020-09-05;20-59;223;4490;2836500.0;7.861801515952759;4.966592427616927;117.04565485633704
Nouvelle-Aquitaine;2020-09-05;60+;42;1494;1870161.0;2.245795950188246;2.8112449799196786;22.671844830471812
Nouvelle-Aquitaine;2020-09-05;whole;331;7400;5999982.0;5.5166832167163165;4.472972972972973;74.98355828400818
Nouvelle-Aquitaine;2020-09-06;0-19;19;459;1293321.0;1.4690861742753731;4.139433551198257;57.44900144666329
Nouvelle-Aquitaine;2020-09-06;20-59;115;1654;2836500.0;4.054292261589987;6.952841596130592;116.76361713379166
Nouvelle-Aquitaine;2020-09-06;60+;23;486;1870161.0;1.2298406393888013;4.732510288065844;23.687800141271257
Nouvelle-Aquitaine;2020-09-06;whole;157;2599;5999982.0;2.616674516690217;6.040784917275875;75.06689186734226
Nouvelle-Aquitaine;2020-09-07;0-19;142;3632;1293321.0;10.979486144584367;3.909691629955947;58.84076729597679
Nouvelle-Aquitaine;2020-09-07;20-59;616;12219;2836500.0;21.716904635995064;5.04132907766593;119.97179622774547
Nouvelle-Aquitaine;2020-09-07;60+;139;3847;1870161.0;7.432515168480147;3.6132050948791266;27.430793391585002
Nouvelle-Aquitaine;2020-09-07;whole;897;19706;5999982.0;14.95004485013455;4.551913122906729;78.01690071736883
Nouvelle-Aquitaine;2020-09-08;0-19;150;3949;1293321.0;11.598048744279263;3.7984299822739933;61.39233801971823
Nouvelle-Aquitaine;2020-09-08;20-59;565;11163;2836500.0;19.9189141547682;5.061363432768969;118.63211704565487
Nouvelle-Aquitaine;2020-09-08;60+;103;3092;1870161.0;5.507547211175937;3.33117723156533;28.927990691710498
Nouvelle-Aquitaine;2020-09-08;whole;818;18206;5999982.0;13.633374233456035;4.493024277710645;78.40023520070561
Nouvelle-Aquitaine;2020-09-09;0-19;143;4172;1293321.0;11.05680646954623;3.427612655800575;61.315017694756364
Nouvelle-Aquitaine;2020-09-09;20-59;536;11200;2836500.0;18.89652741054116;4.785714285714286;114.57782478406486
Nouvelle-Aquitaine;2020-09-09;60+;110;3172;1870161.0;5.881846536207311;3.467843631778058;30.639073320425354
Nouvelle-Aquitaine;2020-09-09;whole;789;18549;5999982.0;13.150039450118351;4.253598576742681;76.9835642840262
Nouvelle-Aquitaine;2020-09-10;0-19;164;4429;1293321.0;12.680533293745325;3.7028674644389254;63.4799867936885
Nouvelle-Aquitaine;2020-09-10;20-59;572;12359;2836500.0;20.165697161995418;4.6282061655473745;114.61307949938305
Nouvelle-Aquitaine;2020-09-10;60+;139;3832;1870161.0;7.432515168480147;3.6273486430062634;34.54248056718111
Nouvelle-Aquitaine;2020-09-10;whole;875;20625;5999982.0;14.583377083464583;4.242424242424243;78.65023595070787
Nouvelle-Aquitaine;2020-09-11;0-19;152;5218;1293321.0;11.752689394202985;2.9129934840935223;64.63979166811642
Nouvelle-Aquitaine;2020-09-11;20-59;524;11860;2836500.0;18.473470826723073;4.418212478920742;111.08760796756566
Nouvelle-Aquitaine;2020-09-11;60+;115;3604;1870161.0;6.149203196944006;3.190899001109878;35.87926387086459
Nouvelle-Aquitaine;2020-09-11;whole;792;20689;5999982.0;13.200039600118801;3.828121223838755;77.65023295069885
Nouvelle-Aquitaine;2020-09-12;0-19;49;1995;1293321.0;3.788695923131226;2.456140350877193;63.325346143764776
Nouvelle-Aquitaine;2020-09-12;20-59;164;4378;2836500.0;5.781773312180504;3.746002740977615;109.00757976379339
Nouvelle-Aquitaine;2020-09-12;60+;42;1503;1870161.0;2.245795950188246;2.7944111776447107;35.87926387086459
Nouvelle-Aquitaine;2020-09-12;whole;255;7879;5999982.0;4.25001275003825;3.236451326310445;76.38356248402079
Nouvelle-Aquitaine;2020-09-13;0-19;31;479;1293321.0;2.3969300738177144;6.471816283924843;64.25319004330711
