reg;jour;cl_age90;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-05-23;59;3;270;1044459.0
Auvergne-Rhône-Alpes;2020-05-23;69;0;257;926660.0
Auvergne-Rhône-Alpes;2020-05-23;79;2;270;687362.0
Auvergne-Rhône-Alpes;2020-05-23;89;0;234;387722.0
Auvergne-Rhône-Alpes;2020-05-23;90;3;89;109865.0
Auvergne-Rhône-Alpes;2020-05-24;0;2;707;8032377.0
Auvergne-Rhône-Alpes;2020-05-24;9;0;60;940637.0
Auvergne-Rhône-Alpes;2020-05-24;19;0;22;999616.0
Auvergne-Rhône-Alpes;2020-05-24;29;1;52;894918.0
Auvergne-Rhône-Alpes;2020-05-24;39;0;74;1005784.0
Auvergne-Rhône-Alpes;2020-05-24;49;0;64;1035354.0
Auvergne-Rhône-Alpes;2020-05-24;59;0;69;1044459.0
Auvergne-Rhône-Alpes;2020-05-24;69;0;95;926660.0
Auvergne-Rhône-Alpes;2020-05-24;79;0;107;687362.0
Auvergne-Rhône-Alpes;2020-05-24;89;1;117;387722.0
Auvergne-Rhône-Alpes;2020-05-24;90;0;47;109865.0
Auvergne-Rhône-Alpes;2020-05-25;0;44;5311;8032377.0
Auvergne-Rhône-Alpes;2020-05-25;9;0;308;940637.0
Auvergne-Rhône-Alpes;2020-05-25;19;2;362;999616.0
Auvergne-Rhône-Alpes;2020-05-25;29;5;592;894918.0
Auvergne-Rhône-Alpes;2020-05-25;39;5;658;1005784.0
Auvergne-Rhône-Alpes;2020-05-25;49;5;672;1035354.0
Auvergne-Rhône-Alpes;2020-05-25;59;7;646;1044459.0
Auvergne-Rhône-Alpes;2020-05-25;69;6;641;926660.0
Auvergne-Rhône-Alpes;2020-05-25;79;4;607;687362.0
Auvergne-Rhône-Alpes;2020-05-25;89;3;550;387722.0
Auvergne-Rhône-Alpes;2020-05-25;90;7;274;109865.0
Auvergne-Rhône-Alpes;2020-05-26;0;42;5406;8032377.0
Auvergne-Rhône-Alpes;2020-05-26;9;0;332;940637.0
Auvergne-Rhône-Alpes;2020-05-26;19;1;361;999616.0
Auvergne-Rhône-Alpes;2020-05-26;29;2;654;894918.0
Auvergne-Rhône-Alpes;2020-05-26;39;7;752;1005784.0
Auvergne-Rhône-Alpes;2020-05-26;49;4;626;1035354.0
Auvergne-Rhône-Alpes;2020-05-26;59;9;653;1044459.0
Auvergne-Rhône-Alpes;2020-05-26;69;6;635;926660.0
Auvergne-Rhône-Alpes;2020-05-26;79;6;543;687362.0
Auvergne-Rhône-Alpes;2020-05-26;89;4;546;387722.0
Auvergne-Rhône-Alpes;2020-05-26;90;3;303;109865.0
Auvergne-Rhône-Alpes;2020-05-27;0;47;4392;8032377.0
Auvergne-Rhône-Alpes;2020-05-27;9;1;309;940637.0
Auvergne-Rhône-Alpes;2020-05-27;19;0;353;999616.0
Auvergne-Rhône-Alpes;2020-05-27;29;4;538;894918.0
Auvergne-Rhône-Alpes;2020-05-27;39;6;562;1005784.0
Auvergne-Rhône-Alpes;2020-05-27;49;9;567;1035354.0
Auvergne-Rhône-Alpes;2020-05-27;59;7;525;1044459.0
Auvergne-Rhône-Alpes;2020-05-27;69;5;511;926660.0
Auvergne-Rhône-Alpes;2020-05-27;79;5;435;687362.0
Auvergne-Rhône-Alpes;2020-05-27;89;4;385;387722.0
Auvergne-Rhône-Alpes;2020-05-27;90;5;205;109865.0
Auvergne-Rhône-Alpes;2020-05-28;0;51;4272;8032377.0
Auvergne-Rhône-Alpes;2020-05-28;9;2;257;940637.0
Auvergne-Rhône-Alpes;2020-05-28;19;3;283;999616.0
Auvergne-Rhône-Alpes;2020-05-28;29;7;532;894918.0
Auvergne-Rhône-Alpes;2020-05-28;39;2;587;1005784.0
Auvergne-Rhône-Alpes;2020-05-28;49;7;509;1035354.0
Auvergne-Rhône-Alpes;2020-05-28;59;6;560;1044459.0
Auvergne-Rhône-Alpes;2020-05-28;69;5;442;926660.0
Auvergne-Rhône-Alpes;2020-05-28;79;4;398;687362.0
Auvergne-Rhône-Alpes;2020-05-28;89;7;424;387722.0
Auvergne-Rhône-Alpes;2020-05-28;90;0;256;109865.0
Auvergne-Rhône-Alpes;2020-05-29;0;51;4724;8032377.0
Auvergne-Rhône-Alpes;2020-05-29;9;0;335;940637.0
Auvergne-Rhône-Alpes;2020-05-29;19;2;349;999616.0
Auvergne-Rhône-Alpes;2020-05-29;29;3;593;894918.0
Auvergne-Rhône-Alpes;2020-05-29;39;2;619;1005784.0
Auvergne-Rhône-Alpes;2020-05-29;49;4;557;1035354.0
Auvergne-Rhône-Alpes;2020-05-29;59;7;631;1044459.0
Auvergne-Rhône-Alpes;2020-05-29;69;2;525;926660.0
Auvergne-Rhône-Alpes;2020-05-29;79;4;473;687362.0
Auvergne-Rhône-Alpes;2020-05-29;89;5;415;387722.0
Auvergne-Rhône-Alpes;2020-05-29;90;4;202;109865.0
Auvergne-Rhône-Alpes;2020-05-30;0;22;2317;8032377.0
Auvergne-Rhône-Alpes;2020-05-30;9;1;171;940637.0
Auvergne-Rhône-Alpes;2020-05-30;19;3;156;999616.0
Auvergne-Rhône-Alpes;2020-05-30;29;2;255;894918.0
Auvergne-Rhône-Alpes;2020-05-30;39;2;261;1005784.0
Auvergne-Rhône-Alpes;2020-05-30;49;3;314;1035354.0
Auvergne-Rhône-Alpes;2020-05-30;59;4;317;1044459.0
Auvergne-Rhône-Alpes;2020-05-30;69;1;277;926660.0
Auvergne-Rhône-Alpes;2020-05-30;79;2;277;687362.0
Auvergne-Rhône-Alpes;2020-05-30;89;3;211;387722.0
Auvergne-Rhône-Alpes;2020-05-30;90;1;78;109865.0
Auvergne-Rhône-Alpes;2020-05-31;0;3;753;8032377.0
Auvergne-Rhône-Alpes;2020-05-31;9;0;68;940637.0
Auvergne-Rhône-Alpes;2020-05-31;19;0;32;999616.0
Auvergne-Rhône-Alpes;2020-05-31;29;0;58;894918.0
Auvergne-Rhône-Alpes;2020-05-31;39;1;83;1005784.0
Auvergne-Rhône-Alpes;2020-05-31;49;0;61;1035354.0
Auvergne-Rhône-Alpes;2020-05-31;59;0;76;1044459.0
Auvergne-Rhône-Alpes;2020-05-31;69;0;80;926660.0
Auvergne-Rhône-Alpes;2020-05-31;79;1;87;687362.0
Auvergne-Rhône-Alpes;2020-05-31;89;0;144;387722.0
Auvergne-Rhône-Alpes;2020-05-31;90;1;64;109865.0
Auvergne-Rhône-Alpes;2020-06-01;0;16;1368;8032377.0
Auvergne-Rhône-Alpes;2020-06-01;9;0;57;940637.0
Auvergne-Rhône-Alpes;2020-06-01;19;0;115;999616.0
Auvergne-Rhône-Alpes;2020-06-01;29;4;151;894918.0
Auvergne-Rhône-Alpes;2020-06-01;39;0;178;1005784.0
Auvergne-Rhône-Alpes;2020-06-01;49;0;106;1035354.0
Auvergne-Rhône-Alpes;2020-06-01;59;2;181;1044459.0
Auvergne-Rhône-Alpes;2020-06-01;69;0;171;926660.0
Auvergne-Rhône-Alpes;2020-06-01;79;1;177;687362.0
Auvergne-Rhône-Alpes;2020-06-01;89;2;155;387722.0
Auvergne-Rhône-Alpes;2020-06-01;90;3;73;109865.0
Auvergne-Rhône-Alpes;2020-06-02;0;50;5438;8032377.0
Auvergne-Rhône-Alpes;2020-06-02;9;1;285;940637.0
Auvergne-Rhône-Alpes;2020-06-02;19;0;373;999616.0
Auvergne-Rhône-Alpes;2020-06-02;29;13;662;894918.0
Auvergne-Rhône-Alpes;2020-06-02;39;4;664;1005784.0
Auvergne-Rhône-Alpes;2020-06-02;49;3;671;1035354.0
Auvergne-Rhône-Alpes;2020-06-02;59;1;737;1044459.0
Auvergne-Rhône-Alpes;2020-06-02;69;5;655;926660.0
Auvergne-Rhône-Alpes;2020-06-02;79;1;591;687362.0
Auvergne-Rhône-Alpes;2020-06-02;89;9;549;387722.0
Auvergne-Rhône-Alpes;2020-06-02;90;13;250;109865.0
Auvergne-Rhône-Alpes;2020-06-03;0;38;4310;8032377.0
Auvergne-Rhône-Alpes;2020-06-03;9;0;264;940637.0
Auvergne-Rhône-Alpes;2020-06-03;19;3;305;999616.0
Auvergne-Rhône-Alpes;2020-06-03;29;6;593;894918.0
Auvergne-Rhône-Alpes;2020-06-03;39;6;535;1005784.0
Auvergne-Rhône-Alpes;2020-06-03;49;2;456;1035354.0
Auvergne-Rhône-Alpes;2020-06-03;59;3;544;1044459.0
Auvergne-Rhône-Alpes;2020-06-03;69;2;508;926660.0
Auvergne-Rhône-Alpes;2020-06-03;79;2;446;687362.0
Auvergne-Rhône-Alpes;2020-06-03;89;4;420;387722.0
Auvergne-Rhône-Alpes;2020-06-03;90;10;239;109865.0
Auvergne-Rhône-Alpes;2020-06-04;0;27;4013;8032377.0
Auvergne-Rhône-Alpes;2020-06-04;9;0;256;940637.0
Auvergne-Rhône-Alpes;2020-06-04;19;0;279;999616.0
Auvergne-Rhône-Alpes;2020-06-04;29;1;503;894918.0
Auvergne-Rhône-Alpes;2020-06-04;39;4;501;1005784.0
Auvergne-Rhône-Alpes;2020-06-04;49;2;478;1035354.0
Auvergne-Rhône-Alpes;2020-06-04;59;7;529;1044459.0
Auvergne-Rhône-Alpes;2020-06-04;69;0;437;926660.0
Auvergne-Rhône-Alpes;2020-06-04;79;1;400;687362.0
Auvergne-Rhône-Alpes;2020-06-04;89;5;395;387722.0
Auvergne-Rhône-Alpes;2020-06-04;90;7;235;109865.0
Auvergne-Rhône-Alpes;2020-06-05;0;27;4530;8032377.0
Auvergne-Rhône-Alpes;2020-06-05;9;0;283;940637.0
Auvergne-Rhône-Alpes;2020-06-05;19;3;371;999616.0
Auvergne-Rhône-Alpes;2020-06-05;29;3;502;894918.0
Auvergne-Rhône-Alpes;2020-06-05;39;3;557;1005784.0
Auvergne-Rhône-Alpes;2020-06-05;49;4;531;1035354.0
Auvergne-Rhône-Alpes;2020-06-05;59;3;594;1044459.0
Auvergne-Rhône-Alpes;2020-06-05;69;2;544;926660.0
Auvergne-Rhône-Alpes;2020-06-05;79;3;505;687362.0
Auvergne-Rhône-Alpes;2020-06-05;89;5;423;387722.0
Auvergne-Rhône-Alpes;2020-06-05;90;0;218;109865.0
Auvergne-Rhône-Alpes;2020-06-06;0;20;2192;8032377.0
Auvergne-Rhône-Alpes;2020-06-06;9;0;128;940637.0
Auvergne-Rhône-Alpes;2020-06-06;19;2;168;999616.0
Auvergne-Rhône-Alpes;2020-06-06;29;3;214;894918.0
Auvergne-Rhône-Alpes;2020-06-06;39;3;253;1005784.0
Auvergne-Rhône-Alpes;2020-06-06;49;4;260;1035354.0
Auvergne-Rhône-Alpes;2020-06-06;59;0;309;1044459.0
Auvergne-Rhône-Alpes;2020-06-06;69;2;293;926660.0
Auvergne-Rhône-Alpes;2020-06-06;79;3;283;687362.0
Auvergne-Rhône-Alpes;2020-06-06;89;2;216;387722.0
Auvergne-Rhône-Alpes;2020-06-06;90;0;66;109865.0
Auvergne-Rhône-Alpes;2020-06-07;0;7;712;8032377.0
Auvergne-Rhône-Alpes;2020-06-07;9;1;42;940637.0
Auvergne-Rhône-Alpes;2020-06-07;19;0;38;999616.0
Auvergne-Rhône-Alpes;2020-06-07;29;0;56;894918.0
Auvergne-Rhône-Alpes;2020-06-07;39;0;66;1005784.0
Auvergne-Rhône-Alpes;2020-06-07;49;0;79;1035354.0
Auvergne-Rhône-Alpes;2020-06-07;59;2;82;1044459.0
Auvergne-Rhône-Alpes;2020-06-07;69;1;97;926660.0
Auvergne-Rhône-Alpes;2020-06-07;79;0;104;687362.0
Auvergne-Rhône-Alpes;2020-06-07;89;2;109;387722.0
Auvergne-Rhône-Alpes;2020-06-07;90;1;39;109865.0
Auvergne-Rhône-Alpes;2020-06-08;0;39;4441;8032377.0
Auvergne-Rhône-Alpes;2020-06-08;9;0;243;940637.0
Auvergne-Rhône-Alpes;2020-06-08;19;2;284;999616.0
Auvergne-Rhône-Alpes;2020-06-08;29;7;471;894918.0
Auvergne-Rhône-Alpes;2020-06-08;39;3;499;1005784.0
Auvergne-Rhône-Alpes;2020-06-08;49;4;474;1035354.0
Auvergne-Rhône-Alpes;2020-06-08;59;5;559;1044459.0
Auvergne-Rhône-Alpes;2020-06-08;69;6;598;926660.0
