jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
2020-07-16;60+;160;22344;17857583.105505366;0.8959779106427518;0.7160759040458289;4.233495627787002
2020-07-16;whole;974;83982;67114995.0;1.4512405163704474;1.1597723321664166;6.253446044360131
2020-07-17;0-19;151;14540;16099691.846810132;0.9379061502342851;1.0385144429160935;4.453501388860811
2020-07-17;20-59;591;53030;33157720.0476845;1.7823903427318766;1.114463511220064;8.302742154891465
2020-07-17;60+;211;25990;17857583.105505366;1.1815708696601288;0.8118507118122354;4.614286239810172
2020-07-17;whole;960;93663;67114995.0;1.4303807964226176;1.024951154671535;6.421813783939044
2020-07-18;0-19;83;6591;16099691.846810132;0.5155378176784482;1.2592929752693067;4.608783864065163
2020-07-18;20-59;279;22209;33157720.0476845;0.8414330044368759;1.2562474672430097;8.465600155750217
2020-07-18;60+;79;11637;17857583.105505366;0.4423890933798587;0.6788691243447624;4.67588472116686
2020-07-18;whole;442;40467;67114995.0;0.6585711583529136;1.0922480045469147;6.557401963599936
2020-07-19;0-19;23;1810;16099691.846810132;0.1428598771880037;1.270718232044199;4.627417761089685
2020-07-19;20-59;133;5924;33157720.0476845;0.401113224337292;2.2451046590141797;8.676712379085634
2020-07-19;60+;36;4509;17857583.105505366;0.20159502989461914;0.7984031936127743;4.692684306991413
2020-07-19;whole;192;12248;67114995.0;0.2860761592845235;1.5676028739386023;6.670640443316729
2020-07-20;0-19;158;13697;16099691.846810132;0.9813852432915038;1.1535372709352412;4.577727369024293
2020-07-20;20-59;656;51655;33157720.0476845;1.9784231215433354;1.2699641854612331;8.972269491755217
2020-07-20;60+;212;27021;17857583.105505366;1.187170731601646;0.7845749602161282;5.034275885423961
2020-07-20;whole;1028;92478;67114995.0;1.5316994361692196;1.1116157356344212;6.898607382746582
2020-07-21;0-19;176;13104;16099691.846810132;1.0931886254386372;1.3431013431013432;5.490788323225882
2020-07-21;20-59;705;50469;33157720.0476845;2.126201677878127;1.3968971051536587;10.751643945582302
2020-07-21;60+;210;25221;17857583.105505366;1.1759710077186116;0.832639467110741;5.9974521393649205
2020-07-21;whole;1094;88879;67114995.0;1.6300381159232746;1.230886936171649;8.25746913934807
2020-07-22;0-19;189;13144;16099691.846810132;1.1739355125449;1.4379184418746196;5.776508077601889
2020-07-22;20-59;771;51504;33157720.0476845;2.3252503455943776;1.4969711090400746;11.445298393684386
2020-07-22;60+;197;23878;17857583.105505366;1.103172802478888;0.825027221710361;6.187847445376503
2020-07-22;whole;1157;88593;67114995.0;1.7239068556885089;1.3059722551443116;8.711913038211506
2020-07-23;0-19;183;12327;16099691.846810132;1.1366677184958556;1.484546118276953;5.981480944871634
2020-07-23;20-59;751;51588;33157720.0476845;2.264932567498544;1.4557649065674187;11.719744284020429
2020-07-23;60+;202;23842;17857583.105505366;1.131172112186474;0.8472443586947404;6.423041646920226
2020-07-23;whole;1141;87833;67114995.0;1.700067175748132;1.2990561634009996;8.96073969758919
2020-07-24;0-19;209;13527;16099691.846810132;1.2981614927083815;1.5450580320839802;6.34173628734573
2020-07-24;20-59;837;54673;33157720.0476845;2.524299013310628;1.5309201982697127;12.461652954599181
2020-07-24;60+;223;27261;17857583.105505366;1.2487692129583352;0.8180184145849381;6.4902399902184325
2020-07-24;whole;1272;95543;67114995.0;1.8952545552599684;1.3313377222821137;9.425613456426541
2020-07-25;0-19;93;6444;16099691.846810132;0.5776508077601888;1.4432029795158288;6.403849277427471
2020-07-25;20-59;429;24056;33157720.0476845;1.2938163401556264;1.7833388759561024;12.91403629031793
2020-07-25;60+;101;12554;17857583.105505366;0.565586056093237;0.8045244543571769;6.613436952931811
2020-07-25;whole;623;43098;67114995.0;0.9282575376784278;1.4455427165993782;9.695299835752056
2020-07-26;0-19;39;2092;16099691.846810132;0.24224066131878888;1.864244741873805;6.503230061558257
2020-07-26;20-59;175;7904;33157720.0476845;0.5277805583385422;2.2140688259109313;13.04070362431918
2020-07-26;60+;49;4920;17857583.105505366;0.2743932351343427;0.9959349593495935;6.6862351581715345
