jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc
;;sum;sum;sum;sum;sum;sum;sum
2020-06-18;20-59;1695;216;0.0;0.0;0.0;24650;1246
2020-06-18;60+;8236;495;0.0;0.0;0.0;47531;17766
2020-06-18;whole;10080;724;0.0;0.0;0.0;73877;19126
2020-06-19;0-19;64;8;0.0;0.0;0.0;1203;6
2020-06-19;20-59;1688;214;0.0;0.0;0.0;24681;1247
2020-06-19;60+;8087;474;0.0;0.0;0.0;47723;17779
2020-06-19;whole;9925;699;0.0;0.0;0.0;74107;19140
2020-06-20;0-19;60;7;0.0;0.0;0.0;1207;6
2020-06-20;20-59;1658;207;0.0;0.0;0.0;24737;1249
2020-06-20;60+;7990;470;0.0;0.0;0.0;47856;17793
2020-06-20;whole;9792;687;0.0;0.0;0.0;74302;19156
2020-06-21;0-19;59;7;0.0;0.0;0.0;1212;6
2020-06-21;20-59;1655;205;0.0;0.0;0.0;24764;1250
2020-06-21;60+;7982;472;0.0;0.0;0.0;47884;17799
2020-06-21;whole;9778;687;0.0;0.0;0.0;74362;19163
2020-06-22;0-19;70;7;0.0;0.0;0.0;1217;6
2020-06-22;20-59;1637;205;0.0;0.0;0.0;24819;1252
2020-06-22;60+;7857;458;0.0;0.0;0.0;48064;17820
2020-06-22;whole;9648;673;0.0;0.0;0.0;74602;19186
2020-06-23;0-19;70;7;0.0;0.0;0.0;1218;6
2020-06-23;20-59;1592;202;0.0;0.0;0.0;24886;1253
2020-06-23;60+;7700;442;0.0;0.0;0.0;48254;17845
2020-06-23;whole;9446;654;0.0;0.0;0.0;74861;19212
2020-06-24;0-19;65;5;0.0;0.0;0.0;1224;6
2020-06-24;20-59;1570;200;0.0;0.0;0.0;24939;1256
2020-06-24;60+;7541;422;0.0;0.0;0.0;48445;17853
2020-06-24;whole;9254;630;0.0;0.0;0.0;75117;19223
2020-06-25;0-19;57;6;0.0;0.0;0.0;1234;6
2020-06-25;20-59;1553;200;0.0;0.0;0.0;24990;1258
2020-06-25;60+;7408;414;0.0;0.0;0.0;48606;17872
2020-06-25;whole;9096;623;0.0;0.0;0.0;75341;19244
2020-06-26;0-19;54;6;0.0;0.0;0.0;1238;6
2020-06-26;20-59;1517;195;0.0;0.0;0.0;25043;1259
2020-06-26;60+;7193;402;0.0;0.0;0.0;48845;17897
2020-06-26;whole;8841;606;0.0;0.0;0.0;75639;19270
2020-06-27;0-19;54;6;0.0;0.0;0.0;1242;7
2020-06-27;20-59;1502;190;0.0;0.0;0.0;25085;1260
2020-06-27;60+;7083;395;0.0;0.0;0.0;48961;17910
2020-06-27;whole;8715;594;0.0;0.0;0.0;75803;19285
2020-06-28;0-19;56;6;0.0;0.0;0.0;1243;7
2020-06-28;20-59;1509;191;0.0;0.0;0.0;25100;1260
2020-06-28;60+;7086;394;0.0;0.0;0.0;48975;17912
2020-06-28;whole;8727;594;0.0;0.0;0.0;75833;19287
2020-06-29;0-19;58;6;0.0;0.0;0.0;1246;7
2020-06-29;20-59;1489;192;0.0;0.0;0.0;25144;1261
2020-06-29;60+;7020;389;0.0;0.0;0.0;49083;17929
2020-06-29;whole;8643;591;0.0;0.0;0.0;75989;19305
2020-06-30;0-19;54;6;0.0;0.0;0.0;1252;7
