reg;jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc
;;;sum;sum;sum;sum;sum;sum;sum
11;2020-04-17;20-59;3306;1010;0.0;0.0;0.0;5733;440
11;2020-04-17;60+;9275;1290;0.0;0.0;0.0;5792;4030
11;2020-04-17;whole;12766;2341;0.0;0.0;0.0;11927;4510
11;2020-04-18;0-19;82;28;0.0;0.0;0.0;237;4
11;2020-04-18;20-59;3112;979;0.0;0.0;0.0;6010;453
11;2020-04-18;60+;9200;1272;0.0;0.0;0.0;6134;4167
11;2020-04-18;whole;12490;2293;0.0;0.0;0.0;12555;4664
11;2020-04-19;0-19;79;26;0.0;0.0;0.0;244;4
11;2020-04-19;20-59;3073;966;0.0;0.0;0.0;6112;462
11;2020-04-19;60+;9226;1249;0.0;0.0;0.0;6235;4250
11;2020-04-19;whole;12474;2254;0.0;0.0;0.0;12766;4756
11;2020-04-20;0-19;74;16;0.0;0.0;0.0;252;4
11;2020-04-20;20-59;3049;948;0.0;0.0;0.0;6242;472
11;2020-04-20;60+;9251;1232;0.0;0.0;0.0;6426;4425
11;2020-04-20;whole;12474;2210;0.0;0.0;0.0;13095;4942
11;2020-04-21;0-19;72;17;0.0;0.0;0.0;257;5
11;2020-04-21;20-59;2950;914;0.0;0.0;0.0;6474;484
11;2020-04-21;60+;9147;1183;0.0;0.0;0.0;6803;4565
11;2020-04-21;whole;12269;2126;0.0;0.0;0.0;13709;5094
11;2020-04-22;0-19;71;20;0.0;0.0;0.0;266;5
11;2020-04-22;20-59;2830;875;0.0;0.0;0.0;6716;494
11;2020-04-22;60+;9133;1147;0.0;0.0;0.0;7121;4679
11;2020-04-22;whole;12134;2055;0.0;0.0;0.0;14278;5219
11;2020-04-23;0-19;69;20;0.0;0.0;0.0;275;5
11;2020-04-23;20-59;2753;850;0.0;0.0;0.0;6889;502
11;2020-04-23;60+;9030;1123;0.0;0.0;0.0;7454;4782
11;2020-04-23;whole;11950;2006;0.0;0.0;0.0;14795;5330
11;2020-04-24;0-19;63;19;0.0;0.0;0.0;282;5
11;2020-04-24;20-59;2685;816;0.0;0.0;0.0;7050;510
11;2020-04-24;60+;8919;1098;0.0;0.0;0.0;7832;4892
11;2020-04-24;whole;11758;1947;0.0;0.0;0.0;15345;5452
11;2020-04-25;0-19;68;24;0.0;0.0;0.0;282;5
11;2020-04-25;20-59;2611;795;0.0;0.0;0.0;7202;519
11;2020-04-25;60+;8827;1074;0.0;0.0;0.0;8087;4945
11;2020-04-25;whole;11609;1913;0.0;0.0;0.0;15754;5516
11;2020-04-26;0-19;65;24;0.0;0.0;0.0;289;5
11;2020-04-26;20-59;2606;793;0.0;0.0;0.0;7249;521
11;2020-04-26;60+;8796;1054;0.0;0.0;0.0;8177;5004
11;2020-04-26;whole;11570;1891;0.0;0.0;0.0;15899;5578
11;2020-04-27;0-19;69;25;0.0;0.0;0.0;291;5
11;2020-04-27;20-59;2585;785;0.0;0.0;0.0;7337;525
11;2020-04-27;60+;8737;1033;0.0;0.0;0.0;8345;5111
11;2020-04-27;whole;11488;1859;0.0;0.0;0.0;16160;5690
11;2020-04-28;0-19;75;27;0.0;0.0;0.0;294;5
11;2020-04-28;20-59;2484;739;0.0;0.0;0.0;7496;541
11;2020-04-28;60+;8629;981;0.0;0.0;0.0;8691;5247
11;2020-04-28;whole;11279;1761;0.0;0.0;0.0;16670;5843
11;2020-04-29;0-19;75;26;0.0;0.0;0.0;297;5
11;2020-04-29;20-59;2420;701;0.0;0.0;0.0;7624;550
11;2020-04-29;60+;8499;940;0.0;0.0;0.0;9031;5333
11;2020-04-29;whole;11085;1680;0.0;0.0;0.0;17140;5938
11;2020-04-30;0-19;77;28;0.0;0.0;0.0;304;5
11;2020-04-30;20-59;2347;668;0.0;0.0;0.0;7760;556
11;2020-04-30;60+;8385;905;0.0;0.0;0.0;9318;5396
11;2020-04-30;whole;10901;1613;0.0;0.0;0.0;17570;6008
11;2020-05-01;0-19;74;27;0.0;0.0;0.0;308;5
11;2020-05-01;20-59;2313;651;0.0;0.0;0.0;7819;561
11;2020-05-01;60+;8308;879;0.0;0.0;0.0;9500;5429
11;2020-05-01;whole;10784;1569;0.0;0.0;0.0;17817;6047
11;2020-05-02;0-19;78;29;0.0;0.0;0.0;313;5
11;2020-05-02;20-59;2291;644;0.0;0.0;0.0;7865;568
11;2020-05-02;60+;8258;867;0.0;0.0;0.0;9602;5459
11;2020-05-02;whole;10715;1552;0.0;0.0;0.0;17970;6085
11;2020-05-03;0-19;75;28;0.0;0.0;0.0;316;5
11;2020-05-03;20-59;2287;640;0.0;0.0;0.0;7893;569
11;2020-05-03;60+;8236;870;0.0;0.0;0.0;9656;5489
11;2020-05-03;whole;10685;1550;0.0;0.0;0.0;18056;6116
11;2020-05-04;0-19;75;26;0.0;0.0;0.0;320;5
11;2020-05-04;20-59;2259;630;0.0;0.0;0.0;7954;579
11;2020-05-04;60+;8145;831;0.0;0.0;0.0;9821;5571
11;2020-05-04;whole;10567;1501;0.0;0.0;0.0;18287;6208
11;2020-05-05;0-19;80;25;0.0;0.0;0.0;326;5
11;2020-05-05;20-59;2194;600;0.0;0.0;0.0;8078;585
11;2020-05-05;60+;7862;779;0.0;0.0;0.0;10271;5642
11;2020-05-05;whole;10222;1416;0.0;0.0;0.0;18870;6285
11;2020-05-06;0-19;76;24;0.0;0.0;0.0;338;5
11;2020-05-06;20-59;2146;558;0.0;0.0;0.0;8216;596
11;2020-05-06;60+;7625;735;0.0;0.0;0.0;10638;5693
11;2020-05-06;whole;9930;1328;0.0;0.0;0.0;19392;6347
11;2020-05-07;0-19;73;25;0.0;0.0;0.0;343;5
11;2020-05-07;20-59;2025;507;0.0;0.0;0.0;8375;606
11;2020-05-07;60+;7382;710;0.0;0.0;0.0;10990;5726
11;2020-05-07;whole;9564;1254;0.0;0.0;0.0;19909;6390
11;2020-05-08;0-19;77;24;0.0;0.0;0.0;344;5
11;2020-05-08;20-59;1990;489;0.0;0.0;0.0;8432;613
11;2020-05-08;60+;7277;693;0.0;0.0;0.0;11158;5750
11;2020-05-08;whole;9429;1218;0.0;0.0;0.0;20135;6421
11;2020-05-09;0-19;75;24;0.0;0.0;0.0;348;5
11;2020-05-09;20-59;1983;468;0.0;0.0;0.0;8458;617
11;2020-05-09;60+;7255;678;0.0;0.0;0.0;11222;5777
11;2020-05-09;whole;9398;1182;0.0;0.0;0.0;20229;6451
11;2020-05-10;0-19;74;22;0.0;0.0;0.0;352;5
11;2020-05-10;20-59;1972;463;0.0;0.0;0.0;8494;619
11;2020-05-10;60+;7243;674;0.0;0.0;0.0;11273;5798
11;2020-05-10;whole;9373;1171;0.0;0.0;0.0;20320;6474
11;2020-05-11;0-19;70;21;0.0;0.0;0.0;359;5
11;2020-05-11;20-59;1905;447;0.0;0.0;0.0;8585;626
11;2020-05-11;60+;7163;659;0.0;0.0;0.0;11408;5846
11;2020-05-11;whole;9222;1138;0.0;0.0;0.0;20554;6528
11;2020-05-12;0-19;72;23;0.0;0.0;0.0;361;5
11;2020-05-12;20-59;1837;423;0.0;0.0;0.0;8687;630
11;2020-05-12;60+;6963;625;0.0;0.0;0.0;11727;5907
11;2020-05-12;whole;8943;1079;0.0;0.0;0.0;20989;6594
11;2020-05-13;0-19;67;22;0.0;0.0;0.0;368;5
11;2020-05-13;20-59;1813;405;0.0;0.0;0.0;8739;636
11;2020-05-13;60+;6819;601;0.0;0.0;0.0;11953;5933
11;2020-05-13;whole;8768;1036;0.0;0.0;0.0;21276;6627
11;2020-05-14;0-19;62;18;0.0;0.0;0.0;375;5
11;2020-05-14;20-59;1783;384;0.0;0.0;0.0;8799;638
11;2020-05-14;60+;6626;573;0.0;0.0;0.0;12205;5967
11;2020-05-14;whole;8537;982;0.0;0.0;0.0;21598;6663
11;2020-05-15;0-19;61;17;0.0;0.0;0.0;377;5
11;2020-05-15;20-59;1736;369;0.0;0.0;0.0;8869;638
11;2020-05-15;60+;6455;551;0.0;0.0;0.0;12428;5998
11;2020-05-15;whole;8318;943;0.0;0.0;0.0;21893;6694
11;2020-05-16;0-19;61;17;0.0;0.0;0.0;383;5
11;2020-05-16;20-59;1707;369;0.0;0.0;0.0;8909;639
11;2020-05-16;60+;6330;525;0.0;0.0;0.0;12607;6013
11;2020-05-16;whole;8164;917;0.0;0.0;0.0;22119;6710
11;2020-05-17;0-19;60;16;0.0;0.0;0.0;384;5
11;2020-05-17;20-59;1696;358;0.0;0.0;0.0;8928;642
11;2020-05-17;60+;6286;513;0.0;0.0;0.0;12654;6027
11;2020-05-17;whole;8108;893;0.0;0.0;0.0;22186;6727
11;2020-05-18;0-19;57;14;0.0;0.0;0.0;394;5
11;2020-05-18;20-59;1645;328;0.0;0.0;0.0;9002;650
11;2020-05-18;60+;6159;477;0.0;0.0;0.0;12804;6058
11;2020-05-18;whole;7927;824;0.0;0.0;0.0;22420;6766
11;2020-05-19;0-19;50;12;0.0;0.0;0.0;404;5
11;2020-05-19;20-59;1571;303;0.0;0.0;0.0;9085;658
11;2020-05-19;60+;6007;456;0.0;0.0;0.0;13036;6099
11;2020-05-19;whole;7692;775;0.0;0.0;0.0;22746;6816
11;2020-05-20;0-19;50;15;0.0;0.0;0.0;407;5
11;2020-05-20;20-59;1542;289;0.0;0.0;0.0;9146;660
11;2020-05-20;60+;5872;436;0.0;0.0;0.0;13259;6124
11;2020-05-20;whole;7527;745;0.0;0.0;0.0;23033;6844
11;2020-05-21;0-19;50;12;0.0;0.0;0.0;413;5
11;2020-05-21;20-59;1521;285;0.0;0.0;0.0;9191;662
11;2020-05-21;60+;5789;427;0.0;0.0;0.0;13377;6145
11;2020-05-21;whole;7422;728;0.0;0.0;0.0;23204;6867
11;2020-05-22;0-19;51;12;0.0;0.0;0.0;413;5
11;2020-05-22;20-59;1496;280;0.0;0.0;0.0;9239;665
11;2020-05-22;60+;5724;407;0.0;0.0;0.0;13453;6173
11;2020-05-22;whole;7333;703;0.0;0.0;0.0;23335;6898
11;2020-05-23;0-19;51;13;0.0;0.0;0.0;414;5
11;2020-05-23;20-59;1451;270;0.0;0.0;0.0;9294;666
11;2020-05-23;60+;5650;401;0.0;0.0;0.0;13544;6181
11;2020-05-23;whole;7215;688;0.0;0.0;0.0;23482;6907
11;2020-05-24;0-19;50;14;0.0;0.0;0.0;416;5
11;2020-05-24;20-59;1451;267;0.0;0.0;0.0;9300;668
11;2020-05-24;60+;5640;401;0.0;0.0;0.0;13559;6190
11;2020-05-24;whole;7205;686;0.0;0.0;0.0;23505;6918
11;2020-05-25;0-19;43;12;0.0;0.0;0.0;422;5
11;2020-05-25;20-59;1438;261;0.0;0.0;0.0;9330;673
11;2020-05-25;60+;5514;394;0.0;0.0;0.0;13731;6214
11;2020-05-25;whole;7056;671;0.0;0.0;0.0;23715;6950
11;2020-05-26;0-19;44;12;0.0;0.0;0.0;423;5
11;2020-05-26;20-59;1413;257;0.0;0.0;0.0;9377;677
11;2020-05-26;60+;5390;386;0.0;0.0;0.0;13886;6248
11;2020-05-26;whole;6907;659;0.0;0.0;0.0;23918;6988
11;2020-05-27;0-19;43;11;0.0;0.0;0.0;426;5
11;2020-05-27;20-59;1360;246;0.0;0.0;0.0;9429;679
11;2020-05-27;60+;5202;381;0.0;0.0;0.0;14093;6271
11;2020-05-27;whole;6663;642;0.0;0.0;0.0;24182;7014
11;2020-05-28;0-19;40;10;0.0;0.0;0.0;432;5
11;2020-05-28;20-59;1323;229;0.0;0.0;0.0;9468;688
11;2020-05-28;60+;5099;371;0.0;0.0;0.0;14248;6286
11;2020-05-28;whole;6518;614;0.0;0.0;0.0;24384;7037
11;2020-05-29;0-19;40;10;0.0;0.0;0.0;434;5
11;2020-05-29;20-59;1286;222;0.0;0.0;0.0;9515;691
