jour;cl_age90;P;T;pop;incidence;positivite;incidence hebdo
2020-08-14;0;3820;131082;67114995.0;5.691723585764999;2.9142063746357243;25.295390396736224
2020-08-14;9;125;4794;7763205.686272893;1.610159579064462;2.6074259491030456;7.870460022467091
2020-08-14;19;456;12861;8336486.160537239;5.469930510513957;3.5456029857709357;22.743395280558037
2020-08-14;29;1166;25445;7476787.1878041085;15.59493363542487;4.582432697976026;68.29136461619157
2020-08-14;39;661;20951;8295371.931939545;7.968298533486625;3.154980669180469;37.06886231538786
2020-08-14;49;495;17617;8592886.15993014;5.760579050939322;2.8097860021570074;26.021524763434996
2020-08-14;59;438;17062;8792674.76801071;4.981419324111938;2.5671081936467;21.08573385137793
2020-08-14;69;220;13362;8004082.760304243;2.748597267023231;1.6464601107618622;13.11830513806542
2020-08-14;79;165;9931;5695639.130797295;2.8969531989450803;1.6614641023059107;11.500026335206227
2020-08-14;89;69;6267;3245280.6081309738;2.126164370104765;1.1010052656773577;11.062217519820443
2020-08-14;90;25;2736;912580.6062728532;2.739484033317845;0.9137426900584795;13.697420166589223
2020-08-15;0;731;26131;67114995.0;1.0891753772759725;2.7974436493054227;24.918425457679014
2020-08-15;9;16;1077;7763205.686272893;0.20610042612025115;1.4856081708449396;7.496903000124135
2020-08-15;19;70;2390;8336486.160537239;0.839682315210476;2.928870292887029;22.443508739411435
2020-08-15;29;232;4786;7476787.1878041085;3.102937052674588;4.8474717927287925;67.95699639930854
2020-08-15;39;128;3821;8295371.931939545;1.5430290654860639;3.3499084009421614;36.32145761179305
2020-08-15;49;91;3340;8592886.15993014;1.059015542697936;2.7245508982035926;25.602573559730317
2020-08-15;59;65;2997;8792674.76801071;0.7392517261809954;2.1688355021688355;20.653555919149042
2020-08-15;69;42;2578;8004082.760304243;0.5247322055226168;1.6291698991466252;12.818458163481067
2020-08-15;79;44;2271;5695639.130797295;0.7725208530520213;1.9374724790841038;11.306896121943222
2020-08-15;89;26;1865;3245280.6081309738;0.8011633858365781;1.394101876675603;10.754077756037143
2020-08-15;90;15;986;912580.6062728532;1.643690419990707;1.5212981744421907;14.245316973252795
2020-08-16;0;670;21646;67114995.0;0.9982865975032853;3.0952600942437405;25.30582025671014
2020-08-16;9;26;982;7763205.686272893;0.3349131924454081;2.6476578411405294;7.638597043081808
2020-08-16;19;62;1971;8336486.160537239;0.7437186220435643;3.145611364789447;22.683417972328712
2020-08-16;29;212;4121;7476787.1878041085;2.8354424791681576;5.144382431448678;69.40146709624325
2020-08-16;39;115;3464;8295371.931939545;1.3863151760226355;3.3198614318706694;36.90009351135033
2020-08-16;49;84;2747;8592886.15993014;0.9775528086442485;3.0578813250819072;26.05643736374372
2020-08-16;59;62;2437;8792674.76801071;0.7051324157418725;2.5441116126384897;20.858271781783777
2020-08-16;69;46;1905;8004082.760304243;0.5747067012866754;2.4146981627296586;12.943394402891213
